25	goniomet instrument measur angl object rotat precis angular posit term goniometri deriv greek word nia mean angl metron mean measur descript goniomet deriv astrolab appar gemma frisiu prior invent theodolit goniomet survei applic triangul geodesi edit cosmograficu liber petri appiani page appendix frisiu entitl libellu de locorum describendorum ration bellini tosi direct finder type radio direct finder wide world war world war ii signal cross antenna individu antenna simul cross creat radio signal small area loop wire oper measur angl target radio sourc perform direct find small area advantag bellini tosi system antenna move allow built requir size basic techniqu remain equip chang dramat goniomet wide militari civil purpos intercept satellit naval commun french warship dupui de multipl goniomet crystallographi goniomet measur angl crystal face rai diffract rotat sampl groundbreak investig physicist max von laue colleagu atom structur crystal involv goniomet goniophotomet measur
26	conflict interest zathra ii zathra inform group charact scienc fiction televis seri babylon portrai tim choat ten charact appear episod seri zathra speci homeworld reveal war end zathra live epsilon iii help care great machin member race evid actual homeworld oldest zathra oldest live year caretak great machin servic mysteri messian appear slightli shaggi slightli hunchback humanoid zathra prone deadpan deliveri cryptic humor gener piti statement zathra beast burden peopl sad life sad death symmetri listen poor zathra mad good zathra mind grown speech pattern pattern michael straczynski polish born grandmoth uneasi grasp english refer person refer brother stori mention zathra brother name sound nigh indistinguish zathra fact reveal younger brother zathra zathra war end featur tim choat dual role zathras discuss condit great machin explain differenti zathra listen inflect demonstr differ ivanova audienc unabl detect differ simpli due human lack aural sensit detect subtl differ inflect
27	redirect ron
28	eurogam lgbt sport event europ host licens european gai lesbian sport feder organis feder member club similar gai game eurogam sport event open irrespect sex ag sexual ident physic abil eurogam dai event recent eurogam held june juli helsinki finland organ sport club hot helsinki sport offer game attract particip eurogam plan rome
29	interrex plural interreg liter ruler king latin inter rege roman kingdom roman republ effect short term regent offic interrex supposedli creat death rome king romulu origin obscur legend senat roman kingdom unabl choos king purpos continu govern citi senat consist hundr member divid ten decuria group ten decuria senat nomin decurio ten decurion success held regal power badg dai interrex king appoint expir fifti dai rotat began anew period exercis power call interregnum occas last year numa pompiliu elect king death subsequ king interrex appoint senat function call meet comitia curiata elect king republ interreg appoint hold comitia elect consul consul civil commot death unabl year offic interrex held offic dai king comitia gener rule held interrex origin curio maximu instanc read eleventh fourteenth interrex comitia elect consul held spuriu lucretiu tricipitinu interrex call praefectu urbi interreg republ bc elect senat bodi confin decem primi ten chief senat king plebeian admiss
30	fortunatu german proto chapbook legendari hero popular centuri europ tale life young man name fortunatu rel obscur adventur fame fortun subsequ career son fortunatu nativ stori famagusta cypru meet goddess fortun forest receiv purs continu replenish drew wander land cairo guest sultan treasur sultan show napless hat power transport wearer place desir hat feloni possess return cypru led luxuri life death left purs hat son ampedo andelosia jealou reckless folli fell evil dai cervant tale don quixot fortunatu tale mark pass feudal world modern globalis capitalist world moral tale purest sens nonetheless written order convei lesson reader moral stori obviou men desir reason wisdom treasur world easi wisdom lose fortun matter acquir recent english translat michael haldan fortunatu publish augsburg print johann otmar sold johann heybler apothecari citi sourc integr creat text includ full form histori fortunatu occupi karl simrock die deutschen volksbuch vol iii upward page scene continu
31	halfdan halfdan healfden mediev hald nu proto nors halbadaniz half dane late earli centuri legendari danish king scyld skj ldung lineag son king name fr account note father king succeed rule denmark king name hro gar halga english poem beowulf name hr ar helgi nors account chronicon lethrens saxo grammaticu gesta danorum book halfdan brother name ro skat sought throne kill halfdan saxo add brother support hang halfdan continu reign great cruelti reign long di peaceabl extrem ag ynglinga saga halfdan work son king name fr brother name fridleif great warrior halfdan lead feud brother snorri deal danish matter swedish matter snorri tell halfdan attack king aun sweden drove exil taland halfdan rule sweden twenti year di uppsala sick buri mound ynglinga saga danish king name fr bold aid aun successor egil rebel thrall tunni froda heathobard beowulf fr slayer halfdan nors tradit make end peac saga hrolf kraki fr halfdan younger brother latin epitom skj ldunga saga younger brother half
32	halga helgi helgh helgo legendari danish king live earli centuri languag proto nors hailaga dedic god scholar gener agre appear anglo saxon beowulf scandinavian tradit nors saga danish chronicl tradit scyld son healfden brother hro gar beowulf relationship hro ulf explain father scandinavian tradit uncl tradit mention famili feud froda ingeld halga anglo saxon sourc scandinavian version stori incestu relationship daughter yrsa liaison result halga son hro ulf krakiin anglo saxon epic beowulf halga mention appear earli poem list brave halga children healfden heorogar hro gar daughter unnam call sign nors sourc marri king sweden  feower bearn gerim  worold wocun weoroda swa  heorogar hro gar halga til  hyrd ic elan cwen  hea scilfinga healsgebedda appear gummer translat  woke  chieftain clansmen children  heorogar hrothgar halga brave  heard ela queen  heathoscylf helpmat dear hro ulf hr lfr kraki mention hro gar nephew halga son nors sourc chronicon lethrens includ annal lundens tell
33	vidushi vedav born carnat vocalist vedav born mannargudi tamil nadu india ramaswami iyengar padmasani ammal vedav talent music identifi earli madurai srirangam iyengar brought year harmonium start vocal lesson famili move madra year time vedav tutelag mudicondan venkatarama iyer young ag vedav won award prestigi competit includ india radio prize classic music light classic music award presid india receiv sangeetha kalanidhi consid highest award carnat music women receiv honor receiv sangeetha kalasikhamani award fine art societi chennai receiv central govern scholarship special padam javali muktha pallavi venkataramana iyer perform childhood ariyakudi ramanuja iyengar advis turn profession musician heard sing year travel india abroad north america south east asia east gulf give concert lectur demonstr vedav serv teacher colleg music madra music academi year professor vocal music govern colleg music adyar share deep knowledg extens repertoir numer student institut train privat discipl
34	permalloi nickel iron magnet alloi nickel iron content invent physicist gustav elmen bell telephon laboratori addit high permeabl magnet properti low coerciv magnetostrict signific anisotrop magnetoresist low magnetostrict critic industri applic allow thin film variabl stress ruinous larg variat magnet properti permalloi electr resist vari depend strength direct appli magnet field permalloi typic face center cubic crystal structur lattic constant approxim nm vicin nickel concentr disadvantag permalloi ductil workabl applic requir elabor shape magnet shield made high permeabl alloi mu metal permalloi transform lamin magnet record head permalloi initi develop earli centuri induct compens telegraph cabl transatlant submarin telegraph cabl laid found long conductor caus distort reduc maximum signal speed word minut condit transmit signal cabl distort work mathemat oliv heavisid propos carl emil krarup denmark cabl compens wrap iron wire increas induct make load line reduc distort iron
35	flodoard reim march canon chronicl presum archivist cathedr church reim west frankish kingdom decad dissolut carolingian empir local tradit flodoard born pernai educ cathedr school reim establish archbishop fulk canon reim favourit archbishop heriveu seulf occupi young import posit archiepiscop ministri cathedr scriptorium seulf death magnat herbert ii count vermandoi instal year son hugh archbishop flodoard refus particip young boi elect strip posit benefic reim count herbert king raoul duke hugh great eject hugh oversaw elect archbishop artold flodoard visit rome pilgrimag met pope leo vii herbert recaptur reim depos artold reimpos hugh flodoard object invas bishopr canon ground detain herbert strip prebend flodoard appear reim court king loui iv loui recaptur reim back otto hugh depos artold ordain claim eventu ratifi synod ingelheim flodoard attend flodoard otto court aachen repres church reim properti disput retir canon offic ag di march histori church reim historia remensi
36	inchtuthil site roman legionari fortress situat natur platform overlook north bank river tai southwest blairgowri perth kinross scotland roman caledonia built ad advanc headquart forc governor gnaeu juliu agricola campaign caledonian tribe posit head main rout scottish highland occupi legion xx valeria victrix cover total area construct larg fortress season temporari camp built nearbi hous protect soldier winter addit smaller fort built north south mouth nearbi glen form refer glenblock fort woolliscroft hoffmann argu glenblock fort strathmor cardean stracathro form uniform system compos element fort watchtow roman road gask ridg glenblock strathmor fort inchtuthil largest militari base function lynch pin site larg launch invas highland unlik legionari fortress britain inchtuthil built layout larg preserv sir ian richmond excav notabl site complet plan legionari fortress roman empir defenc consist turf rampart face stone ditch gatehous side standard roman plan legion accommod number
37	mantou refer chines steam bun bread type cloud steam bread bun popular northern china mantou origin tale zhuge liang mantou typic eaten stapl food northern part china wheat rice grown made mill wheat flour water leaven agent size textur rang soft fluffi eleg restaur firm dens work man lunch white flour heavili process expens white mantou luxuri pre industri china tradition mantou bing wheat noodl stapl carbohydr northern chines diet analog rice form mainstai southern chines diet south serv street food restaur dish stapl home cook restaur mantou smaller delic manipul deep fry dip sweeten condens milk sold pre cook frozen section asian supermarket readi prepar steam heat microwav oven similar food savori sweet fill insid baozi mantou older word region jiangnan region china korea mantou equival local read word fill unfil bun japan equival local read word refer fill bun mongol thought fill baozi style mantou countri central east asia begin yuan dynasti centuri mantou cognat manti mant
38	eanmund swedish princ scylf dynasti exist alleg beowulf unlik rel eanmund mention beowulf eanmund son ohther brother eadgil exist real life real proto nors aiwamunduz east nors mund munduz east nors mund ohther di ohther younger brother onela usurp swedish throne uncl seiz power eanmund eadgil sought refug geat caus onela attack geat attack motiv fact geatish king heardr father kill onela father ongentheow battl eanmund kill onela champion weohstan heardr kill eadgil surviv poem beowulf help aveng eanmund ohther slai onela event appear scandinavian sourc tale weohstan eanmund sword inherit son wiglaf sword fight dragon beowulf nerman det svenska riket uppkomst stockholm
39	token practic make perfunctori symbol effort inclus member minor group recruit small number peopl underrepres group order give appear racial sexual equal workforc effort includ token employe workforc intend creat impress social inclus divers racial religi sexual order deflect accus social discrimin social concept employ practic token understood popular cultur unit state late book wait civil right activist martin luther king jr discuss subject token constitut minim accept black peopl mainstream societi ask gain african american civil right movement human right activist malcolm answer gain token negro job lunch counter rest quiet practic employ token misrepres token person man woman inferior intellect job skill work capac rel worker group possess superfici person suffici bland inoffens affront sensibl superior inher white privileg token employe employ organ avoid accus stereotyp neg trait minor group altern differ token person emphas made exot glamor extraordinari condit maintain other
40	mattress depend metropoli record smith babyland perform base independ electron junk punk band lo angel california featur dan gatto perform vocal electron michael smith percuss form advoc dii punk ethic part music underground cultur regard industri music punk rock indi rock electron music commun live perform babyland share stage band offspr ethyl meatplow grotu legendari pink dot dystopia foetu add nitzer ebb vnv nation psychic tv live perform occur underground locat includ place la jabberjaw kontrol faktori smell gilman berkelei record prior releas lo angel punk rock label flipsid band particip organ mojav desert event subsequ materi releas band label mattress full length finger compil earlier song decad releas europ depend recent deal metropoli record result commerci releas sixth album cavecraft post band myspac site octob confirm long live group breakup singer dan music project call continu
41	peshmerga kurdish merg kurdish pronunci militari forc autonom region iraqi kurdistan peshmerga mean confront death face death pesh mean stand front loos translat confront face merga mean death formal head peshmerga presid iraqi kurdistan peshmerga forc larg divid control separ democrat parti kurdistan patriot union kurdistan pledg allegi kurdistan region govern effort gather entir forc ministri peshmerga affair peshmerga forc respons defend land peopl institut kurdistan region iraqi armi forbidden law enter iraqi kurdistan peshmerga kurdish secur subsidiari respons secur kurdish region subsidiari includ asayish offici intellig agenc parastin zanyar dzha terror assist intellig agenc zeravani militari polic iraq war peshmerga plai kei role mission captur saddam hussein kurdish anti terror forc captur al qaeda kei figur hassan ghul reveal ident osama bin laden messeng eventu led oper neptun spear death osama bin laden unexpect larg scale isi offens iraqi kurdistan august peshmerga
42	comput fudget graphic user interfac toolkit function program languag haskel window system fudget make easi creat client server applic commun internet work fudget thoma hallgren magnu carlsson author claim advantag fudget fact program lazi function program languag main entiti toolkit fudget implement low level stream processor input output fudget compos parallel sequenc yield fudget code fudget code describ sequenti fudget plumb mapf fudget take function argument make fudget output input appli function note fudget composit read left simpl function composit simpli write compil run integ print factori licens fudget claim softwar free commerci
43	haw surnam notabl peopl surnam includ
44	geometri cissoid curv gener curv point pole variabl line pass intersect point op point chosen direct locu point defin cissoid curv rel slightli essenti equival definit author defin point op op op equival definit replac reflect defin midpoint produc curv gener previou curv scale factor word cissoid greek kissoeid ivi shape kisso ivi oeid like cissoid union curv equat determin individu basi depend period equat elimin due duplic ellips branch cissoid simpli origin ellips branch cissoid oval shape curv parametr equat cissoid rel origin circl center cissoid conchoid parallel line cissoid line parallel line parallel line origin polar equat combin constant cartesian coordin hyperbola pass origin cissoid parallel line hyperbola pole similar deriv show convers hyperbola cissoid parallel line rel point cissoid zahradnik karel zahradnik defin cissoid conic section line rel point conic broad famili ration cubic curv exampl specif  ellips written  cissoid  parametr form folium
45	christen ceremoni
46	tune refer
47	woof woof refer
48	prostacyclin call prostaglandin pgi prostaglandin member eicosanoid famili lipid molecul inhibit platelet activ effect vasodil drug epoprostenol term interchang research team head professor john vane began explor role prostaglandin anaphylaxi respiratori diseas work team royal colleg surgeon sir john discov aspirin oral anti inflammatori drug work inhibit synthesi prostaglandin critic find open door broader understand role prostaglandin bodi sir john team wellcom foundat identifi lipid mediat call pg inhibit platelet aggreg pg prostacyclin time potent anti aggregatori agent john vane fellow research salvador moncada ryszard gryglewski stuart bunt publish paper prostacyclin scientif journal natur collabor produc synthes molecul epoprostenol nativ prostacyclin structur epoprostenol molecul prove unstabl solut prone rapid degrad present challeng vitro experi clinic applic overcom challeng research team discov prostacyclin determin continu research attempt build success prototyp molecul
49	pahonia transliter pahonia pa pogo vyti liter pursuer coat arm grand duchi lithuania belarusian democrat republ republ belaru pahonia declar cultur heritag belaru charg knight emerg state emblem region seal duke alexand michailovich pskov deputi gedimina lithuania pskov part grand duchi lithuania time time duke hlieb narimanta polacak pahonia seal fact illustr probabl pahonia state symbol lithuania gustyn chronicl duke vyteni lithuania began rule lithuania design coat arm seal lithuania arm knight ride hors symbol present time call pahonia quot chronicl pahonia birth symbol charg knight horseback pass gener algirda son grand duke jogaila rule grand duke vytauta rule centuri charg knight horseback sword begun featur herald shield jogaila seal seal vytauta earli centuri herald charg knight horseback coat arm grand duchi lithuania central part duchi vilniu centuri document refer polish term pogo charg knight ride left held lanc half centuri depict show ride left viewer sword rais hand
50	dedic refer
51	prosum person consum produc media deriv prosumpt dot era busi term mean product consum term coin american futurist alvin toffler wide technolog writer time  prosum trade term busi perspect high end electron devic digit camera mean price point profession consum devic blur role consum produc origin cooper movement sprang econom crise great depress marshal mcluhan barrington nevitt suggest book todai electr technolog consum produc book wave futurologist alvin toffler coin term prosum predict role produc consum begin blur merg book futur shock toffler envis highli satur marketplac mass product standard product began satisfi basic consum demand continu grow profit busi initi process mass custom mass product highli custom product reach high degre custom consum part product process design requir sens extens broaden kind relationship affluent client profession architect decad case architectur client primari end consum distinct touch magazin essai prosumpt architectur decentr architectur agenc
52	afro abbrevi fro natur hairstyl worn natur peopl lengthi kinki hair textur specif style fashion individu natur curli straight hair hairstyl creat comb hair scalp allow hair extend head larg round shape cloud ball peopl natur curli straight hair hairstyl typic creat cream gel solidifi liquid hold hair place popular african american commun late hairstyl shape maintain assist wide tooth comb colloqui afro pick afro deriv term afro american hairstyl refer natur shorter elabor version afro case hair left untreat relax straighten chemic allow express natur curl kinki hairstyl similar afro worn circassian beauti moss hair girl group women exhibit sideshow attract unit state barnum women claim circassian peopl northern caucasu region market white audienc captiv exot east pure exampl caucasian race sexual slave turkish harem argu portray caucasian woman rescu slave american civil war plai racial connot slaveri time distinct hairstyl affili side show white circassian african american ident
53	rassilon fiction charact british scienc fiction televis seri doctor backstori programm founder time lord societi planet gallifrei leader lord high presid origin televis seri end rassilon charact histori develop book media univers televis seri contradictori legend rassilon develop technolog time travel made peopl lord time distant past colleagu omega omega stellar engin presum kill supernova creat black hole ey harmoni rassilon har nucleu black hole provid energi power time travel rassilon control gallifrei date lord high presid successor take titl lord presid offici histori benevol ruler rule peopl wise account paint rassilon opportunist ambiti cruel dictat seiz power wake friend death suggest deliber respons readi drastic measur protect peopl destroi time rassilon contribut time lord cultur societi immens reverber honour time lord histori rassilon imprimatur symbiot nucleu time lord cell structur withstand molecular stress time travel grant link tardi time machin time lord artifact
54	fox fox new newscast virtual psip wfxt virtual channel uhf digit channel fox affili televis station locat boston massachusett unit state station own cox media group subsidiari cox enterpris wfxt maintain studio facil locat fox drive boston provid turnpik dedham transmitt locat cabot street needham wfxt boston televis station canada satellit provid bell tv cabl provid eastlink wfxt largest fox affili market size own oper network station sign air octob wxne tv stand christ england origin oper independ station found christian broadcast network station earli program format target famili audienc consist older syndic rerun decent amount religi program includ cbn produc program club program televangelist religi program ran hour dai week dai sundai station carri daili sundai mass boston cathol televis center secular program consist western older movi famili orient drama seri film short classic televis seri religi program reduc sundai midnight hour dai week year cbn ownership tim robertson
55	flai colloqui skin method slow pain execut skin remov bodi gener attempt made remov portion skin intact articl deal flai sens tortur execut human dead anim flai prepar human food hide fur commonli call skin flai human method tortur execut depend skin remov refer flai aliv record peopl flai death gener mean debas corps promin enemi crimin relat religi belief deni afterlif skin deterr magic scalp dermatologist ernst jung note typic death due flai shock critic loss blood bodi fluid hypothermia infect actual death estim occur hour dai flai hypothermia skin import maintain person bodi temperatur remov remov person natur insul ernst jung klein kulturgeschicht der haut small cultur histori skin essai outlin neo assyrian tradit flai human be time ashurnasirp ii bc practic displai commemor carv offici royal edict carv show actual flai process begin place bodi cru lower leg thigh buttock royal edict neo assyrian king gloat terribl fate impos captiv flai fate mete rebel leader jung exampl
56	zhdanov refer
57	wojeck canadian dramat televis seri air cbc televis arguabl success drama seri english canadian televis steve wojeck crusad big citi coron regularli fight moral injustic rais death investig tackl tough controversi issu episod seri examin role racism suicid young ojibw man jennif dale plai wojeck daughter tv movi show inspir career dr morton shulman highest rate show canadian televis time episod seri made vernon lure hollywood promis monei cbc offer return role tv movi wojeck fire season film black white season shot colour wojeck tv seri featur forens patholog investig crime central theme tv mysteri suspens drama begin quinci program includ  man world  street danc  episod star bruno gerussi cbc beachcomb construct worker crew forc work underground tunnel contract caisson diseas episod pick bob hope chrysler theater shown  wonder dai  art morrison  listen man speak  fair egypt  thy mother ladi love bright  rememb victim  dime harri doesn  pick time time  aboard candyland  swing low
58	bulgan refer  mongolia
59	fanavid brazilian glass manufactur base guarulho paulo brazil fanavid special type auto glass fanavid found mansur jose farhat paulo brazil import glass temper glass plant found villag guillermo curv lamin glass plain glass plant found plant open dutra open oper fanavid center plant guarulho
60	odetta holm decemb decemb odetta american singer actress guitarist songwrit civil human right activist refer voic civil right movement music repertoir consist larg american folk music blue jazz spiritu import figur american folk music reviv influenc kei figur folk reviv time includ bob dylan joan baez mavi stapl jani joplin time includ song hammer list time song state rosa park fan martin luther king jr call queen american folk music odetta born birmingham alabama grew lo angel attend belmont high school studi music lo angel citi colleg emploi domest worker operat train ag mother hope follow marian anderson odetta doubt larg black girl perform metropolitan opera profession experi music theater ensembl member year hollywood turnabout puppet theatr work alongsid elsa lanchest join nation tour compani music finian rainbow tour finian rainbow odetta fell enthusiast group young ballad san francisco concentr folksing made plai unit state blue angel nightclub york citi hungri san francisco
61	aamc refer
